country,country_url,province,province_url,city,city_url
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,Spaniards Bay,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/Spaniards+Bay/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Andrews,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Andrews/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Anthony East,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Anthony+East/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Bernards-Jacques Fontaine,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Bernards-Jacques+Fontaine/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Brendans,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Brendans/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Brides,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Brides/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Chads,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Chads/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Davids,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Davids/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Fintans,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Fintans/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,St Georges,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/St+Georges/
